Time, Total Energy, PotentialE(V), KineticE 
0, 11499039744.000000, 11499038720.000000, 1399.928101
0.000000, 964607253647596364784205824.000000, 8558844313600.000000, 964607253647596364784205824.000000
0.001000, 5718681328396706862885502976.000000, 517561516032.000000, 5718681328396706862885502976.000000
0.002000, 15288873921944424881594008543952896.000000, 3995819573248.000000, 15288873921944424881594008543952896.000000
0.003000, 61152400837679486075688786365251584.000000, 59598749696.000000, 61152400837679486075688786365251584.000000
0.004000, 61154752923754128298211094701277184.000000, 99099231649792.000000, 61154752923754128298211094701277184.000000
0.005000, 61174109354208394504189417407643648.000000, 651927582932992.000000, 61174109354208394504189417407643648.000000
0.006000, 61168038496255738999321312102449152.000000, 1271191437312.000000, 61168038496255738999321312102449152.000000
0.007000, 61162061721746069183354099130695680.000000, 32207034908672.000000, 61162061721746069183354099130695680.000000
0.008000, 61156094850756713650429085351936000.000000, 2997134592.000000, 61156094850756713650429085351936000.000000
0.009000, 61150088365686100985335274801201152.000000, 38353027072.000000, 61150088365686100985335274801201152.000000
